dijkstra;;2.427100039;81.21320344
ant;alpha=4, beta=4, phero_decrease=0.02;7.454999971;93.60660172
ant;alpha=4, beta=1, phero_decrease=0.01;7.611500049;94.84062043
ant;alpha=3, beta=1, phero_decrease=0.0;8.233500004;95.08326112
ant;alpha=4, beta=1, phero_decrease=0.0;8.618199992;95.42640687
ant;alpha=4, beta=0, phero_decrease=0.0;7.243000007;95.44722215
ant;alpha=3, beta=2, phero_decrease=0.0;8.381000018;95.45584412
ant;alpha=4, beta=3, phero_decrease=0.01;7.46880002;95.97056275
ant;alpha=3, beta=4, phero_decrease=0.04;7.401600003;96.60660172
ant;alpha=3, beta=4, phero_decrease=0.03;7.937599969;96.77817459
ant;alpha=3, beta=3, phero_decrease=0.04;7.509500027;96.8492424
ant;alpha=4, beta=2, phero_decrease=0.0;7.377200055;96.9411255
ant;alpha=4, beta=3, phero_decrease=0.0;7.2625;98.09188309
ant;alpha=4, beta=4, phero_decrease=0.0;7.773699999;98.19238816
ant;alpha=4, beta=4, phero_decrease=0.01;7.053799987;98.48528137
ant;alpha=3, beta=1, phero_decrease=0.02;8.435200047;98.7903679
ant;alpha=3, beta=4, phero_decrease=0.0;7.528900003;99.19238816
ant;alpha=3, beta=0, phero_decrease=0.02;7.68670001;99.34671709
ant;alpha=3, beta=3, phero_decrease=0.0;7.692499995;99.50609665
ant;alpha=4, beta=4, phero_decrease=0.03;7.07650001;99.60660172
ant;alpha=4, beta=2, phero_decrease=0.01;7.561500001;99.627417
ant;alpha=3, beta=4, phero_decrease=0.01;7.122900009;100.3137085
ant;alpha=4, beta=3, phero_decrease=0.04;6.843300009;100.3847763
ant;alpha=3, beta=2, phero_decrease=0.03;8.506300044;100.4558441
ant;alpha=4, beta=1, phero_decrease=0.04;7.464299989;100.8406204
ant;alpha=3, beta=2, phero_decrease=0.04;7.343999982;100.991378
ant;alpha=3, beta=0, phero_decrease=0.0;7.9046;101.0538239
ant;alpha=4, beta=3, phero_decrease=0.02;6.487700057;101.2842712
ant;alpha=4, beta=4, phero_decrease=0.04;6.90539999;101.6066017
ant;alpha=4, beta=1, phero_decrease=0.02;7.011500025;101.6690476
ant;alpha=3, beta=1, phero_decrease=0.03;8.148699975;102.3050865
ant;alpha=4, beta=0, phero_decrease=0.04;7.36639998;102.6898628
ant;alpha=3, beta=3, phero_decrease=0.01;6.565100002;103.0918831
ant;alpha=2, beta=3, phero_decrease=0.01;7.047799993;103.2132034
